time,buy_usd,sell_usd
2025-05-05 16:23:00,157617.898874,84665.533684
2025-05-05 16:23:30,150904.712773,141281.722876
2025-05-05 16:24:00,263310.939473,220264.405193
2025-05-05 16:24:30,97311.923068,51677.764359
2025-05-05 16:25:00,179891.676293,119805.968465
2025-05-05 16:25:30,58119.997968,38137.595988
2025-05-05 16:26:00,200317.491516,573423.502264
2025-05-05 16:26:30,326343.804079,412401.84092
2025-05-05 16:27:00,64161.213733,334847.358055
2025-05-05 16:27:30,37545.692967,123528.400833
2025-05-05 16:28:00,67840.621314,61869.10836
2025-05-05 16:28:30,279497.128134,152434.613512
2025-05-05 16:29:00,57676.783188,154692.225556
2025-05-05 16:29:30,159353.221404,326266.156637
2025-05-05 16:30:00,123613.199715,224747.987353
2025-05-05 16:30:30,23081.461637,53815.84962
2025-05-05 16:31:00,132650.321118,279319.107548
2025-05-05 16:31:30,38191.993703,98935.91747
2025-05-05 16:32:00,320198.071378,468982.286333
2025-05-05 16:32:30,28343.607502,58516.852514
2025-05-05 16:33:00,68015.7989,82430.720406
2025-05-05 16:33:30,18055.138228,18508.672469
2025-05-05 16:34:00,42649.498772,26795.017951
2025-05-05 16:34:30,42618.149937,45379.823292
2025-05-05 16:35:00,121736.179042,77945.483124
2025-05-05 16:35:30,199187.938134,56049.860152
2025-05-05 16:36:00,71615.555452,124657.445149
2025-05-05 16:36:30,43376.524499,19173.507762
2025-05-05 16:37:00,46568.930263,126474.965134
2025-05-05 16:37:30,55699.966787,205421.110394
2025-05-05 16:38:00,117031.71085,138922.398566
2025-05-05 16:38:30,81551.439166,41356.048482
2025-05-05 16:39:00,76232.88045,84648.11139
2025-05-05 16:39:30,88536.089004,68128.639375
2025-05-05 16:40:00,181222.122483,217235.808313
2025-05-05 16:40:30,183958.087489,58465.867198
2025-05-05 16:41:00,37487.827382,68706.467073
2025-05-05 16:41:30,9551.045922,10141.874473
2025-05-05 16:42:00,30599.43064,44611.010243
2025-05-05 16:42:30,32940.869213,43788.533358
2025-05-05 16:43:00,79809.265481,105757.026403
2025-05-05 16:43:30,119189.319494,17020.583369
2025-05-05 16:44:00,155308.534489,77230.335437
2025-05-05 16:44:30,42864.162547,70960.229196
2025-05-05 16:45:00,63366.453315,71288.354531
2025-05-05 16:45:30,75836.24117,55300.252728
2025-05-05 16:46:00,18060.879335,53103.518878
2025-05-05 16:46:30,64557.461915,26898.846156
2025-05-05 16:47:00,23367.755686,76080.809384
2025-05-05 16:47:30,200738.114226,208118.104435
2025-05-05 16:48:00,38905.611841,41773.42524
2025-05-05 16:48:30,146526.710511,264419.821281
2025-05-05 16:49:00,98596.584323,196705.621732
2025-05-05 16:49:30,65103.57464,55982.254996
2025-05-05 16:50:00,221461.401487,80268.599461
2025-05-05 16:50:30,44801.555698,60044.641456
2025-05-05 16:51:00,254694.418044,288495.406142
2025-05-05 16:51:30,144415.793441,150386.278467
2025-05-05 16:52:00,44375.359199,50218.065438
2025-05-05 16:52:30,53148.098244,18805.45507
2025-05-05 16:53:00,94568.325407,57837.072459
2025-05-05 16:53:30,22343.145355,31984.540496
2025-05-05 16:54:00,21287.858329,36195.18715
2025-05-05 16:54:30,55437.753571,40145.539691
2025-05-05 16:55:00,189218.529216,41312.82217
2025-05-05 16:55:30,190214.978369,38019.565179
2025-05-05 16:56:00,16850.937502,50292.617061
2025-05-05 16:56:30,11263.82881,60607.909883
2025-05-05 16:57:00,23975.124782,36549.026729
2025-05-05 16:57:30,25556.773545,13171.657451
2025-05-05 16:58:00,16037.967462,33648.396288
2025-05-05 16:58:30,24661.825696,21513.36762
2025-05-05 16:59:00,51297.38239,37044.840667
2025-05-05 16:59:30,51715.143014,56142.818575
2025-05-05 17:00:00,80998.837799,70823.190946
2025-05-05 17:00:30,64495.258514,26873.420562
2025-05-05 17:01:00,76286.791018,132934.315998
2025-05-05 17:01:30,52398.778313,77729.093572
2025-05-05 17:02:00,28818.557251,100122.615756
2025-05-05 17:02:30,119005.573547,114267.301495
2025-05-05 17:03:00,179301.659365,143798.074177
2025-05-05 17:03:30,96515.966966,62368.479356
2025-05-05 17:04:00,170192.549817,111682.471033
2025-05-05 17:04:30,72254.608606,27355.11846
2025-05-05 17:05:00,17587.017381,60505.746556
2025-05-05 17:05:30,50022.742195,51056.984971
2025-05-05 17:06:00,240830.851527,169965.284566
2025-05-05 17:06:30,40052.27346,15623.801712
2025-05-05 17:07:00,35614.436243,57504.482703
2025-05-05 17:07:30,224644.720285,224827.505887
2025-05-05 17:08:00,38518.394195,22394.630812
2025-05-05 17:08:30,34122.961193,57878.653428
2025-05-05 17:09:00,32078.666755,37257.84122
2025-05-05 17:09:30,80551.386527,68902.65167
2025-05-05 17:10:00,67847.660143,248192.395307
2025-05-05 17:10:30,136460.524226,38090.017535
2025-05-05 17:11:00,35926.820577,57203.417951
2025-05-05 17:11:30,119742.366061,59372.909179
2025-05-05 17:12:00,43882.494673,66310.098856
2025-05-05 17:12:30,51436.216947,61854.068377
2025-05-05 17:13:00,77850.327136,53071.959639
2025-05-05 17:13:30,68091.965928,178308.998276
2025-05-05 17:14:00,124528.188825,30354.125758
2025-05-05 17:14:30,49139.511935,72429.209985
2025-05-05 17:15:00,79575.570648,147994.359382
2025-05-05 17:15:30,50794.39528,102308.578441
2025-05-05 17:16:00,69392.541353,67309.69484
2025-05-05 17:16:30,79881.792905,76352.773092
2025-05-05 17:17:00,38190.94231,41610.699594
2025-05-05 17:17:30,133984.437084,80880.093262
2025-05-05 17:18:00,31254.100843,120742.453203
2025-05-05 17:18:30,181227.419933,273570.00657
2025-05-05 17:19:00,76171.706032,156495.345243
2025-05-05 17:19:30,93815.545257,78513.236768
2025-05-05 17:20:00,268808.143222,138624.745609
2025-05-05 17:20:30,28941.315152,36586.918947
2025-05-05 17:21:00,108509.322724,50311.999055
2025-05-05 17:21:30,13790.021366,71604.438544
2025-05-05 17:22:00,163773.750116,214459.96737
2025-05-05 17:22:30,216372.321965,84356.629353
2025-05-05 17:23:00,14991.700754,47085.739051
2025-05-05 17:23:30,54130.393397,60774.446883
2025-05-05 17:24:00,19608.237574,26143.628188
2025-05-05 17:24:30,26117.789243,55774.794697
2025-05-05 17:25:00,102620.832466,43370.454312
2025-05-05 17:25:30,29975.361768,33322.224357
2025-05-05 17:26:00,49095.666274,79351.588011
2025-05-05 17:26:30,28237.613046,23951.834333
2025-05-05 17:27:00,90444.980631,30678.681319
2025-05-05 17:27:30,142861.187152,122214.872673
2025-05-05 17:28:00,212727.037261,220655.396269
2025-05-05 17:28:30,29653.25624,17351.336213
2025-05-05 17:29:00,29266.260101,4522.404975
